time,IR,correctedPPM,correctedRZero,ppm,resistance,rzero,humidity,temperature,neck_pos,base_pos,result,img_url
2023-12-30-15-45-13,0,355480.41,6.66,463116.03,3.84,6.08,59,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_15_45_13.jpg
2023-12-30-15-45-15,0,355480.41,6.66,463116.03,3.84,6.08,59,31,0,60,0,http://192.168.1.5:5555/image/2023_12_30_15_45_14.jpg
2023-12-30-15-45-16,0,355480.41,6.66,463116.03,3.84,6.08,59,31,0,120,0,http://192.168.1.5:5555/image/2023_12_30_15_45_16.jpg
2023-12-30-15-45-17,0,355480.41,6.66,463116.03,3.84,6.08,59,31,0,180,0,http://192.168.1.5:5555/image/2023_12_30_15_45_17.jpg
2023-12-30-15-45-43,0,315261.69,6.99,405219.13,4.03,6.38,59,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_15_45_43.jpg
2023-12-30-15-45-53,0,336913.88,6.82,433049.69,3.94,6.23,59,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_15_45_53.jpg
2023-12-30-16-05-49,0,172752.55,8.68,223460.06,5.0,7.91,58,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_16_05_48.jpg
2023-12-30-16-05-50,0,172752.55,8.68,223460.06,5.0,7.91,58,31,0,60,0,http://192.168.1.5:5555/image/2023_12_30_16_05_50.jpg
2023-12-30-16-05-52,0,172752.55,8.68,223460.06,5.0,7.91,58,31,0,120,0,http://192.168.1.5:5555/image/2023_12_30_16_05_51.jpg
2023-12-30-16-05-53,0,172752.55,8.68,223460.06,5.0,7.91,58,31,0,180,0,http://192.168.1.5:5555/image/2023_12_30_16_05_53.jpg
2023-12-30-16-27-27,0,171749.36,8.66,223460.06,5.0,7.91,59,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_16_27_27.jpg
2023-12-30-16-27-28,0,171749.36,8.66,223460.06,5.0,7.91,59,31,0,60,0,http://192.168.1.5:5555/image/2023_12_30_16_27_28.jpg
2023-12-30-16-27-37,0,173852.58,8.66,223460.06,5.0,7.91,59,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_16_27_37.jpg
2023-12-30-17-05-56,1,196689.03,8.29,258974.89,4.76,7.5,61,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_17_05_56.jpg
2023-12-30-17-25-18,1,166652.25,8.76,218089.88,5.04,7.95,60,31,0,0,0,http://192.168.1.5:5555/image/2023_12_30_17_25_18.jpg
2023-12-30-17-25-19,1,166652.25,8.76,218089.88,5.04,7.95,60,31,0,60,0,http://192.168.1.5:5555/image/2023_12_30_17_25_19.jpg
